"Input","Query"
"oyuncular reytingi tablosundaki futbolcuları gol sayısına göre çoktan aza doğru listele","SELECT * FROM PlayersRating ORDER BY GoalRating DESC"
"oyuncular reytingi tablosundaki futbolcuları gol sayısına göre azalan sırada listele","SELECT * FROM PlayersRating ORDER BY GoalRating DESC"
"oyuncular reytingi tablosundaki futbolcuları asist sayısına göre çoktan aza doğru listele","SELECT * FROM PlayersRating ORDER BY AssistRating DESC"
"oyuncular reytingi tablosundaki futbolcuları asist sayısına göre azalan sırada listele","SELECT * FROM PlayersRating ORDER BY AssistRating DESC"
"oyuncular reytingi tablosundaki futbolcuları faul sayısına göre çoktan aza doğru listele","SELECT * FROM PlayersRating ORDER BY FoulRating DESC"
"oyuncular reytingi tablosundaki futbolcuları faul sayısına göre azalan sırada listele","SELECT * FROM PlayersRating ORDER BY FoulRating DESC"
"oyuncular reytingi tablosundaki en az gol atan futbolcu kimdir","SELECT * FROM PlayersRating ORDER BY GoalRating ASC LIMIT 1"
"oyuncular reytingi tablosundaki en çok gol atan futbolcu kimdir","SELECT * FROM PlayersRating ORDER BY GoalRating DESC LIMIT 1"
"oyuncular reytingi tablosundaki en az asist yapan futbolcu kimdir","SELECT * FROM PlayersRating ORDER BY AssistRating ASC LIMIT 1"
"oyuncular reytingi tablosundaki en çok asist yapan futbolcu kimdir","SELECT * FROM PlayersRating ORDER BY AssistRating DESC LIMIT 1"
"oyuncular reytingi tablosundaki en az faul yapan futbolcu kimdir","SELECT * FROM PlayersRating ORDER BY FoulRating ASC LIMIT 1"
"oyuncular reytingi tablosundaki en çok faul yapan futbolcu kimdir","SELECT * FROM PlayersRating ORDER BY FoulRating DESC LIMIT 1"
"genel oyuncular tablosundaki futbolcuları isimlerine göre alfabetik olarak tersten listele","SELECT * FROM PlayersGeneral ORDER BY PlayerName DESC"
"oyuncular futbol verileri tablosundaki futbolcuları market değerine göre azdan çoğa doğru listele","SELECT * FROM PlayersFootballData ORDER BY MarketValue ASC"
"oyuncular futbol verileri tablosundaki futbolcuları market değerine göre artan sırada listele","SELECT * FROM PlayersFootballData ORDER BY MarketValue ASC"
"oyuncular futbol verileri tablosundaki futbolcuları market değerine göre azalan sırada listele","SELECT * FROM PlayersFootballData ORDER BY MarketValue DESC"
"oyuncular futbol verileri tablosundaki futbolcuları forma numarasına göre artan sırada listele","SELECT * FROM PlayersFootballData ORDER BY ShirtNumber ASC"
"oyuncular genel tablosundaki “lionel messi” isimli futbolcunun boyu ne kadar","SELECT CM FROM PlayersGeneral WHERE PlayerName=’Lionel Messi’"
"oyuncular genel tablosundaki “lionel messi” isimli futbolcu kaç kilo","SELECT HG FROM PlayersGeneral WHERE PlayerName=’Lionel Messi’"
"oyuncular genel tablosundaki “neymar” isimli futbolcunun uyruğu nedir","SELECT Nationality FROM PlayersGeneral WHERE PlayerName=’Neymar’"
"oyuncular genel tablosundaki “luis suarez” isimli futbolcu ne zaerkek doğdu","SELECT BirthDate FROM PlayersGeneral WHERE PlayerName=’Luis Suarez’’"
"oyuncular genel tablosundaki “cristiano ronaldo” isimli futbolcunun oyuncular futbol verileri tablosundaki market değeri ne kadar","SELECT PlayersFootballData.MarketValue FROM PlayersGeneral INNER JOIN PlayersFootballData ON PlayersGeneral.PGID=PlayersFootballData.PFDID WHERE PlayersGeneral.PlayerName='Cristiano Ronaldo'"
"oyuncular genel tablosundaki hangi futbolcuların oyuncular futbol verileri tablosundaki market değeri 15 milyon eurodan fazla","SELECT * FROM PlayersGeneral INNER JOIN PlayersFootballData ON PlayersGeneral.PGID=PlayersFootballData.PFDID WHERE PlayersFootballData.MarketValue>15000000"
"oyuncular futbol verileri tablosundaki market değeri 50 milyon eurodan az olan oyuncular genel tablosundaki futbolcuları getir","SELECT * FROM PlayersGeneral INNER JOIN PlayersFootballData ON PlayersGeneral.PGID=PlayersFootballData.PFDID WHERE PlayersFootballData.MarketValue<50000000"
"oyuncular genel tablosundaki “erling haaland” isimli futbolcu oyuncular futbol verileri tablosundaki hangi pozisyonda oynuyor","SELECT PlayersFootballData.Position FROM PlayersGeneral INNER JOIN PlayersFootballData ON PlayersGeneral.PGID=PlayersFootballData.PFDID WHERE PlayersGeneral.PlayerName='Erling Haaland’'"
"oyuncular genel tablosundaki “mbappe” isimli futbolcu oyuncular futbol verileri tablosunda kaç numaralı forma giyiyor","SELECT PlayersFootballData.ShirtNumber FROM PlayersGeneral INNER JOIN PlayersFootballData ON PlayersGeneral.PGID=PlayersFootballData.PFDID WHERE PlayersGeneral.PlayerName=’mbappe’"
"oyuncular genel tablosundaki “mauro icardi” isimli futbolcunun oyuncular reytingi tablosunda kaç golü var","SELECT PlayersRating.GoalRating FROM PlayersGeneral INNER JOIN PlayersRating ON PlayersGeneral.PGID=PlayersRating .PRID WHERE PlayersGeneral.PlayerName=’mauro icardi’"
"oyuncular genel tablosundaki “maradona” isimli futbolcu oyuncular reytingi tablosunda kaç asist yapmış","SELECT PlayersRating.AssistRating FROM PlayersGeneral INNER JOIN PlayersRating ON PlayersGeneral.PGID=PlayersRating .PRID WHERE PlayersGeneral.PlayerName=’maradona’"
"oyuncular genel tablosundaki “lewandowski” isimli futbolcu oyuncular reytingi tablosunda kaç tane faul yapmış","SELECT PlayersRating.FoulRating FROM PlayersGeneral INNER JOIN PlayersRating ON PlayersGeneral.PGID=PlayersRating.PRID WHERE PlayersGeneral.PlayerName=’mauro icardi’"
"oyuncular genel tablosundaki “cenk tosun” oyunlar tablosundaki hangi takımda oynuyor","SELECT Plays.Team FROM PlayersGeneral INNER JOIN Plays ON PlayersGeneral.PGID=Plays.ID Rating.PRID WHERE PlayersGeneral.PlayerName=’cenk tosun’"
"oyuncular genel tablosundaki “burak yılmaz” isimli oyuncunun oynadığı takım hangi ülkeye ait","SELECT Plays.Team FROM PlayersGeneral INNER JOIN Plays ON PlayersGeneral.PGID=Plays.ID INNER JOIN Teams ON Teams.ID=Plays.TeamID WHERE PlayersGeneral.PlayerName=’cenk tosun’"
"oyuncular genel tablosundaki “arda turan” hangi ülkenin takımında forma giyiyor?","SELECT Plays.Team FROM PlayersGeneral INNER JOIN Plays ON PlayersGeneral.PGID=Plays.ID INNER JOIN Teams ON Teams.ID=Plays.TeamID WHERE PlayersGeneral.PlayerName=’arda turan’"
"oyuncular genel tablosundaki “kady borges” hangi ligde oynuyor?","SELECT Teams.League FROM PlayersGeneral INNER JOIN Plays ON PlayersGeneral.PGID=Plays.ID INNER JOIN Teams ON Teams.ID=Plays.TeamID WHERE PlayersGeneral.PlayerName=’kady borges’"
"oyuncular genel tablosundaki “lionel messi” hangi ligde oynuyor?","SELECT Teams.League FROM PlayersGeneral INNER JOIN Plays ON PlayersGeneral.PGID=Plays.ID INNER JOIN Teams ON Teams.ID=Plays.TeamID WHERE PlayersGeneral.PlayerName=’lionel messi’"
"oyuncular genel tablosundaki “kady borges” oyuncular performans tablosuna göre kaç dakika oyun oynadı?","SELECT PlayersPerforerkekce.Mins FROM PlayersGeneral INNER JOIN PlayersPerforerkekce ON PlayersGeneral.PGID=PlayersPerforerkekce.PPID WHERE PlayersGeneral.PlayerName=’kady borges’"
"oyuncular genel tablosundaki “arda turan” oyuncular performans tablosuna göre kaç faul yaptı?","SELECT PlayersPerforerkekce.Fouls FROM PlayersGeneral INNER JOIN PlayersPerforerkekce ON PlayersGeneral.PGID=PlayersPerforerkekce.PPID WHERE PlayersGeneral.PlayerName=’kady borges’"
"oyuncular genel tablosundaki “lionel messi” isimli futbolcu oyuncular performans tablosuna göre kaç tane sarı kart aldı?","SELECT PlayersPerforerkekce.Yellow FROM PlayersGeneral INNER JOIN PlayersPerforerkekce ON PlayersGeneral.PGID=PlayersPerforerkekce.PPID WHERE PlayersGeneral.PlayerName=’lionel messi’"
"oyuncular genel tablosundaki “cenk tosun” isimli futbolcu oyuncular performans tablosuna göre kaç tane kırmızı kart aldı?","SELECT PlayersPerforerkekce.Red FROM PlayersGeneral INNER JOIN PlayersPerforerkekce ON PlayersGeneral.PGID=PlayersPerforerkekce.PPID WHERE PlayersGeneral.PlayerName=’cenk tosun’"
"oyuncular genel tablosundaki futbolculardan hangileri oyuncular performans tablosuna göre 4’den fazla kırmızı kart aldı?","SELECT * FROM PlayersGeneral INNER JOIN PlayersPerforerkekce ON PlayersGeneral.PGID=PlayersPerforerkekce.PPID WHERE PlayersPerforerkekce.Red>4"
"oyuncular genel tablosundaki futbolculardan hangileri oyuncular performans tablosuna göre 20’den az sarı kart aldı?","SELECT * FROM PlayersGeneral INNER JOIN PlayersPerforerkekce ON PlayersGeneral.PGID=PlayersPerforerkekce.PPID WHERE PlayersPerforerkekce.Yellow<20"
"oyuncular genel tablosundaki futbolcuları oyuncular performans tablosuna göre aldıkları sarı kart sayısına göre azdan çoğa listele","SELECT * FROM PlayersGeneral INNER JOIN PlayersPerforerkekce ON PlayersGeneral.PGID=PlayersPerforerkekce.PPID ORDER BY PlayersPerforerkekce.Yellow ASC"
"oyuncular genel tablosundaki futbolcuları oyuncular performans tablosuna göre aldıkları kırmızı kart sayısına göre çoktan aza sırala","SELECT * FROM PlayersGeneral INNER JOIN PlayersPerforerkekce ON PlayersGeneral.PGID=PlayersPerforerkekce.PPID ORDER BY PlayersPerforerkekce.Red DESC"
"oyuncular genel tablosundaki hangi futbolcu oyuncular performans tablosuna göre daha fazla süre maç oynadı?","SELECT * FROM PlayersGeneral INNER JOIN PlayersPerforerkekce ON PlayersGeneral.PGID=PlayersPerforerkekce.PPID ORDER BY PlayersPerforerkekce.Mins DESC LIMIT 1"
"oyuncular genel tablosundaki hangi futbolcu oyuncular performans tablosuna göre daha az süre maç oynadı?","SELECT * FROM PlayersGeneral INNER JOIN PlayersPerforerkekce ON PlayersGeneral.PGID=PlayersPerforerkekce.PPID ORDER BY PlayersPerforerkekce.Mins ASC LIMIT 1"
"oyuncular genel tablosundaki futbolculardan hangileri oyuncular performans tablosuna göre 1000 dakikadan fazla maç oynadı?","SELECT * FROM PlayersGeneral INNER JOIN PlayersPerforerkekce ON PlayersGeneral.PGID=PlayersPerforerkekce.PPID ORDER BY PlayersPerforerkekce.Mins>1000"
"oyuncular genel tablosundaki futbolcuları oyuncular performans tablosuna göre aldıkları sarı kart sayısına göre artan sırada listele","SELECT * FROM PlayersGeneral INNER JOIN PlayersPerforerkekce ON PlayersGeneral.PGID=PlayersPerforerkekce.PPID ORDER BY PlayersPerforerkekce.Yellow ASC"
"oyuncular genel tablosundaki futbolculardan hangileri oyuncular performans tablosuna göre 1500 dakikadan az maç oynadı?","SELECT * FROM PlayersGeneral INNER JOIN PlayersPerforerkekce ON PlayersGeneral.PGID=PlayersPerforerkekce.PPID ORDER BY PlayersPerforerkekce.Mins<1500"
"oyuncular genel tablosundaki futbolculardan kaçı takımlar tablosuna göre İspanyada oynuyor?","SELECT COUNT(*) FROM PlayersGeneral INNER JOIN Plays ON PlayersGeneral.PGID=Plays.ID INNER JOIN Teams ON Teams.ID=Plays.TeamID WHERE Teams.Country=’İspanya’"
"bana oyuncular genel tablosundaki futbolculardan takımlar tablosuna göre Alerkekyada oynayan futbolcuları getir","SELECT * FROM PlayersGeneral INNER JOIN Plays ON PlayersGeneral.PGID=Plays.ID INNER JOIN Teams ON Teams.ID=Plays.TeamID WHERE Teams.Country=’Alerkekya’"
"oyuncular genel tablosundaki futbolculardan kaçı takımlar tablosuna göre Barcelona takımında oynuyor?","SELECT COUNT(*) FROM PlayersGeneral INNER JOIN Plays ON PlayersGeneral.PGID=Plays.ID INNER JOIN Teams ON Teams.ID=Plays.TeamID WHERE Teams.TeamName=’Barcelona’"
"oyuncular genel tablosundaki futbolcuların takımlar tablosundaki Galatasaray takımında oynayan futbolcuların listesi","SELECT COUNT(*) FROM PlayersGeneral INNER JOIN Plays ON PlayersGeneral.PGID=Plays.ID INNER JOIN Teams ON Teams.ID=Plays.TeamID WHERE Teams.TeamName=’Galatasaray’"
"oyuncular genel tablosundaki futbolculardan kaçı takımlar tablosundaki Türkiye süper liginde oynuyor?","SELECT COUNT(*) FROM PlayersGeneral INNER JOIN Plays ON PlayersGeneral.PGID=Plays.ID INNER JOIN Teams ON Teams.ID=Plays.TeamID WHERE Teams.League=’Türkiye Süper Ligi’"
"bana oyuncular genel tablosundaki futbolculardan takımlar tablosundaki Fransa süper liginde oynayan futbolcuları göster","SELECT * FROM PlayersGeneral INNER JOIN Plays ON PlayersGeneral.PGID=Plays.ID INNER JOIN Teams ON Teams.ID=Plays.TeamID WHERE Teams.League=’Fransa Süper Ligi’"
"oyuncular performans tablosunda toplamda kaç gol mevcut","SELECT SUM(TotalGoals) FROM PlayersPerforerkekce"
"oyuncular performans tablosundaki toplam sarı kart sayısı kaçtır","SELECT SUM(Yellow) FROM PlayersPerforerkekce"
"bana oyuncular performans tablosundaki toplam kırmızı kart sayısını göster","SELECT SUM(Red) FROM PlayersPerforerkekce"
"oyuncular performans tablosundaki ortalama sarı kart sayısı kaçtır","SELECT AVG(Yellow) FROM PlayersPerforerkekce"
"oyuncular performans tablosundaki ortalama kırmızı kart sayısı kaçtır","SELECT SUM(Red) FROM PlayersPerforerkekce"
"oyuncular performans tablosundaki ortalama gol sayısı kaçtır","SELECT AVG(TotalGoals) FROM PlayersPerforerkekce"
"oyuncular performans tablosundaki ortalama şut sayısı kaçtır","SELECT AVG(TotalShotls) FROM PlayersPerforerkekce"
"oyuncular performans tablosundaki verilere göre oyuncular genel tablosundaki futbolculardan hangileri ortalama sarı kart sayısından daha az sarı karta sahipler","SELECT * FROM PlayersPerforerkekce INNER JOIN PlayersGeneralON PlayersGeneral.PGID=PlayersPerforerkekc WHERE PlayersPerforerkekce.Yellow<(SELECT AVG(PlayersPerforerkekce.Yellow) FROM PlayersGeneral INNER JOIN PlayersPerforerkekce ON PlayersGeneral.PGID=PlayersPerforerkekce.PPID)"
"oyuncular performans tablosundaki verilere göre oyuncular genel tablosundaki futbolculardan kaçı ortalama kırmızı kart sayısından daha az kırmızı karta sahipler","SELECT * FROM PlayersPerforerkekce INNER JOIN PlayersGeneralON PlayersGeneral.PGID=PlayersPerforerkekc WHERE PlayersPerforerkekce.Red<(SELECT AVG(PlayersPerforerkekce.Red) FROM PlayersGeneral INNER JOIN PlayersPerforerkekce ON PlayersGeneral.PGID=PlayersPerforerkekce.PPID)"
"oyuncular performans tablosundaki verilere göre oyuncular genel tablosundaki futbolculardan hangileri ortalama sarı kart sayısından daha fazla sarı karta sahipler","SELECT * FROM PlayersPerforerkekce INNER JOIN PlayersGeneralON PlayersGeneral.PGID=PlayersPerforerkekc WHERE PlayersPerforerkekce.Yellow>(SELECT AVG(PlayersPerforerkekce.Yellow) FROM PlayersGeneral INNER JOIN PlayersPerforerkekce ON PlayersGeneral.PGID=PlayersPerforerkekce.PPID)"
"oyuncular performans tablosundaki verilere göre oyuncular genel tablosundaki futbolculardan kaçı ortalama kırmızı kart sayısından daha fazla kırmızı karta sahipler","SELECT * FROM PlayersPerforerkekce INNER JOIN PlayersGeneralON PlayersGeneral.PGID=PlayersPerforerkekc WHERE PlayersPerforerkekce.Red>(SELECT AVG(PlayersPerforerkekce .Red) FROM PlayersGeneral INNER JOIN PlayersPerforerkekce ON layersGeneral.PGID=PlayersPerforerkekce.PPID)"
"oyuncular performans tablosundaki verilere göre oyuncular genel tablosundaki futbolculardan hangileri ortalama gol sayısından daha az gol atmışlar","SELECT * FROM PlayersPerforerkekce INNER JOIN PlayersGeneralON PlayersGeneral.PGID=PlayersPerforerkekc WHERE PlayersPerforerkekce.TotalGoals>(SELECT AVG(PlayersPerforerkekce.TotalGoals) FROM PlayersGeneral INNER JOIN PlayersPerforerkekce ON PlayersGeneral.PGID=PlayersPerforerkekce.PPID)"
"oyuncular performans tablosundaki verilere göre oyuncular genel tablosundaki futbolculardan hangileri ortalama gol sayısından daha fazla gol atmışlar","SELECT * FROM PlayersPerforerkekce INNER JOIN PlayersGeneralON PlayersGeneral.PGID=PlayersPerforerkekc WHERE PlayersPerforerkekce.TotalGoals<(SELECT AVG(PlayersPerforerkekce.TotalGoals) FROM PlayersGeneral INNER JOIN PlayersPerforerkekce ON yersGeneral.PGID=PlayersPerforerkekce.PPID)"
"oyuncular genel tablosundaki verilere göre oyuncular futbol verileri tablosundaki hangi futbolcular 6 numaralı forma giyiyor?","SELECT * FROM PlayersGeneral inner join PlayersFootballData on PlayersGeneral.PGID=PlayersFootballData.PFDID WHERE PlayersFootballData.ShirtNumber=6"
"oyuncular genel tablosunda bilgilere göre oyuncular 1989-2000 yıllarında doğulmuş futbolcular","SELECT * FROM PlayersGeneral WHERE BirthDate BETWEEN 1989 AND 2000"
"bana arabalar tablosundaki arabaları listele","SELECT * FROM Cars"
"arabalar tablosundaki arabaların sayısı kaçtır","SELECT COUNT(*) FROM Cars"
"arabalar tablosundaki “Audi” markalı arabalar kaç tane renge sahip","SELECT COUNT(DISTINCT Colour) FROM Cars WHERE Brand = 'Audi'"
"arabalar tablosundaki “Nissan” markalı arabalar hangi renklere sahip","SELECT * FROM Cars WHERE Brand='Nissan'"
"arabalar tablosundaki “Toyota” markalı arabaların kaç tane modeli var","SELECT COUNT(Model) FROM Cars WHERE Brand= 'Toyota'"
"arabalar tablosundaki “Mercedes” markalı arabaların hangi modelleri mevcut","SELECT Model FROM arabalar WHERE Brand='Mercedes';"
"arabalar tablosundaki modeli “A3” olan arabalar hangi markaya ait","SELECT Brand FROM Cars WHERE Model='A3';"
"arabalar tablosundaki üretim yılı 2010’dan sonraki olan arabaları bana göster","SELECT * FROM Cars WHERE ProductionYear> 2010"
"arabalar tablosundaki üretim yılı 2010’dan sonraki olan arabaları sayısı","SELECT COUNT(*) FROM Cars WHERE ProductionYear> 2010"
"arabalar tablosundaki yeşil renkli araba sayısını göster","SELECT COUNT(*) FROM Cars WHERE Colour='Yeşil'"
"arabalar tablosundaki rengi turuncu olan arabaları bana göster","SELECT * FROM Cars WHERE Colour='Orange'"
"arabalar tablosundaki rengi kırmızı olan arabaların sayısı","SELECT COUNT(*) FROM Cars WHERE Colour='Kırmızı'"
"arabalar tablosunda üretim yılı 2015’den sonra gelen arabaları sayısı","SELECT COUNT(*) FROM Cars WHERE ProductionYear>2015"
"arabalar tablosundaki üretim yılı en eski olan arabalar","SELECT * FROM Cars WHERE ProductionYear=(SELECT MIN(ProductionYear) FROM Cars)"
"arabalar tablosundaki üretim yılı en yeni olan arabalar","SELECT * FROM Cars WHERE ProductionYear=(SELECT MAX(ProductionYear) FROM Cars)"
"arabalar tablosundaki üretim yılı 2022’den önceki araba sayısı kaçtır","SELECT COUNT(*) FROM Cars WHERE ProductionYear<2022"
"arabalar tablosundaki sarı renkli araba sayısını kaçtır","SELECT COUNT(*) FROM Cars WHERE Colour='Sarı'"
"arabalar tablosundaki “audi ” markalı arabaların modellerini getir","SELECT Model FROM Cars WHERE Brand='Audi'"
"arabalar tablosundaki sarı renkli arabaları getir","SELECT * FROM Cars WHERE Colour='Sarı'"
"arabalar tablosundaki üretim yılı 2022’den önceki araba sayısı kaçtır","SELECT COUNT(*) FROM Cars WHERE ProductionYear<2022"
"arabalar tablosundaki “toyota” markalı arabanın hangi renkleri vardır","SELECT Colour FROM Cars WHERE Brand='Toyota'"
"arabalar tablosundaki üretim yılı 2013’ten sonraki olan arabaların sayısı kaçtır","SELECT COUNT(*) FROM Cars WHERE ProductionYear>2013"
"arabalar tablosundaki “volvo ” markalı arabaların modellerini listele","SELECT Model FROM Cars WHERE Brand='Volvo'"
"arabalar tablosundaki rengi yeşil olan arabaları bana göster","SELECT * FROM Cars WHERE Colour='Yeşil'"
"arabalar tablosundaki “peugeot” markalı arabanın kaç rengi var","SELECT COUNT(Colour) FROM Cars WHERE Brand='Peugeot'"
"arabalar tablosundaki “honda” markalı arabanın kaç farklı rengi var","SELECT COUNT(DISTINCT Colour) FROM Cars WHERE Brand='Honda'"
"arabalar tablosundaki 1999'dan önce üretilen araba sayısını göster","SELECT COUNT(*) FROM Cars WHERE ProductionYear<1999"
"arabalar tablosundaki beyaz renkli araba sayısı nedir","SELECT COUNT(*) FROM Cars WHERE Colour='Beyaz'"
"bana arabalar tablosundaki üretim yılı en yeni olan arabaları getir","SELECT * FROM Cars WHERE ProductionYear=(SELECT MAX(ProductionYear) FROM Cars)"
"arabalar tablosundaki modeli “A6” olan araba hangi markaya ait","SELECT Brand FROM Cars WHERE Model = 'A6'"
"bana arabalar tablosundaki üretim yılı en yeni olan arabaları göster","SELECT * FROM Cars WHERE ProductionYear=(SELECT MAX(ProductionYear) FROM Cars)"
"arabalar tablosundaki “Mercedes” markalı arabaların hangi modelleri var","SELECT Model FROM Cars WHERE Brand='Mercedes'"
"arabalar tablosundaki 2009’dan önce üretilen araba sayısı kaçtır","SELECT COUNT(*) FROM Cars WHERE ProductionYear<2009"
"arabalar tablosundaki üretim yılı 2010’dan sonraki olan arabaları sayısı kaçtır","SELECT COUNT(*) FROM Cars WHERE ProductionYear>2010"
"arabalar tablosundaki 2022’den sonra üretilen araba sayısını hesapla","SELECT COUNT(*) FROM Cars WHERE ProductionYear>2022"
"arabalar tablosundaki “nissan ” markalı arabaların modellerini getir","SELECT Model FROM Cars WHERE Brand='Nissan'"
"arabalar tablosundaki üretim yılı 2009’den sonraki araba sayısı kaçtır","SELECT COUNT(*) FROM Cars WHERE ProductionYear>2009"
"arabalar tablosundaki “ford” markalı arabaların hangi renkleri var","SELECT Colour FROM Cars WHERE Brand='Ford'"
"arabalar tablosundaki mor renkli arabaları göster","SELECT * FROM Cars WHERE Colour='Mor'"
"arabalar tablosundaki “skoda” markalı arabanın kaç rengi var","SELECT COUNT(DISTINCT Colour) FROM Cars WHERE Brand='Skoda'"
"arabalar tablosundaki 2013’ten sonra üretilen araba sayısını hesapla","SELECT COUNT(*) FROM Cars WHERE ProductionYear>2013"
"arabalar tablosundaki “hyundai ” markalı arabaların modellerini göster","SELECT Model FROM Cars WHERE Brand='Hyundai'"
"arabalar tablosundaki gri renkli araba sayısı","SELECT COUNT(*) FROM Cars WHERE Colour='Gri'"
"arabalar tablosundaki “bmv” markalı arabalar hangi renklere sahip","SELECT Colour FROM Cars WHERE Brand='BMW'"
"arabalar tablosundaki modeli “A5” olan araba hangi markadır","SELECT Brand FROM Cars WHERE Model='A5'"
"arabalar tablosundaki üretim yılı en eski olan arabalar hangileridir","SELECT * FROM Cars WHERE ProductionYear=(SELECT MIN(ProductionYear) FROM Cars)"
"arabalar tablosundaki 2011 den önce üretilen araba sayısını hesapla","SELECT COUNT(*) FROM Cars WHERE ProductionYear<2011"
"arabalar tablosundaki “skoda” markalı arabanın hangi renkleri vardır","SELECT Colour FROM Cars WHERE Brand='Skoda'"
"arabalar tablosundaki “renault” markalı arabaların hangi renkleri vardır","SELECT Color FROM Cars WHERE Brand='Renault';"
"arabalar tablosundaki kırmızı renkli arabaları bana göster","SELECT * FROM Cars WHERE Colour='Kırmızı'"
"arabalar tablosundaki “honda” markalı arabaların hangi renkleri var","SELECT Colour FROM Cars WHERE Brand='Honda'"
"arabalar tablosundaki mavi renkli arabaların sayısı","SELECT COUNT(*) FROM Cars WHERE Colour='Mavi'"
"arabalar tablosundaki üretim yılı 2022’den sonraki olan arabaları sayısı kaçtır","SELECT COUNT(*) FROM Cars WHERE ProductionYear>2022"
"arabalar tablosundaki “Renault ” markalı arabaların hangi modelleri mevcut","SELECT Model FROM Cars WHERE Brand='Renault'"
"arabalar tablosundaki üretim yılı en eski olan arabaları getir","SELECT * FROM Cars WHERE ProductionYear=(SELECT MIN(ProductionYear) FROM Cars)"
"arabalar tablosundaki rengi siyah olan arabaların sayısı","SELECT COUNT(*) FROM Cars WHERE Colour='Siyah'"
"arabalar tablosundaki “Renault ” markalı arabaların hangi modelleri var","SELECT Model FROM Cars WHERE Brand='Renault'"
"arabalar tablosundaki 2011’den sonra üretilen araba sayısı kaçtır","SELECT COUNT(*) FROM Cars WHERE ProductionYear>2011"
"arabalar tablosundaki 2022’den önce üretilen araba sayısı kaçtır","SELECT COUNT(*) FROM Cars WHERE ProductionYear<2022"
"arabalar tablosundaki “honda ” markalı arabaların modellerini getir","SELECT Model FROM Cars WHERE Brand='Honda'"
"araba tablosunda Ford model arabaya ait kaç kayıt var","SELECT COUNT(*) FROM Cars WHERE Model='Ford'"
"arabalar tablosundaki “opel” markalı arabanın hangi renkleri var","SELECT Colour FROM Cars WHERE Brand='Opel'"
"arabalar tablosundaki modeli “A3” olan araba hangi markaya ait","SELECT Brand FROM Cars WHERE Model='A3'"
"arabalar tablosundaki üretim yılı 2010’dan sonraki olan arabaları sayısı kaçtır","SELECT COUNT(*) FROM Cars WHERE ProductionYear>2010"
"arabalar tablosundaki üretim yılı 2010’dan sonraki olan arabalar hangilerdir","SELECT * FROM Cars WHERE ProductionYear>2010"
"arabalar tablosundaki 1985’’den önce üretilen arabalar hangilerdir","SELECT * FROM Cars WHERE ProductionYear<1985"
"arabalar tablosundaki gri renkli araba sayısını göster","SELECT COUNT(*) FROM Cars WHERE Colour='Gri'"
"arabalar tablosundaki gri renkli arabaları göster","SELECT * FROM Cars WHERE Colour='Gri'"
"arabalar tablosundaki “bmv ” markalı arabaların modellerini göster","SELECT Model FROM Cars WHERE Brand='Bmw'"
"arabalar tablosundaki “nissan” markalı arabanın model sayısı","SELECT COUNT(Model) FROM Cars WHERE Brand='Nissan'"
"arabalar tablosundaki “maserati” markalı arabanın modellerini üretim tarihine göre tersten sırala","SELECT Model FROM Cars WHERE Brand='Maserati' ORDER BY ProductionYear DESC"
"arabalar tablosundaki “toyota” markalı arabanın modellerini üretim tarihine göre sırala","SELECT Model FROM Cars WHERE Brand='Toyota' ORDER BY ProductionYear ASC"
"arabalar tablosundaki “volkswagen” markalı arabanın son 5 yılda üretilmiş modelleri","SELECT Model FROM Cars WHERE Brand='Volkswagen' AND ProductionYear BETWEEN (YEAR(CURDATE()) - 5) AND YEAR(CURDATE())"
"arabalar tablosundaki “volkswagen” markalı arabanın son 5 yılda üretilmiş modellerin sayısı","SELECT COUNT(Model) FROM Cars WHERE Brand='Volkswagen' AND ProductionYear BETWEEN (YEAR(CURDATE()) - 5) AND YEAR(CURDATE())"
"arabalar tablosundaki arabaları üretim yılına göre tersten listele","SELECT * FROM Cars ORDER BY ProductionYear DESC"
"arabalar tablosundaki arabaları üretilen ülke isimlerine göre alfabetik olarak getir","SELECT * FROM Cars ORDER BY Country ASC"
"arabalar tablosundaki arabalardan hangileri Çinde üretilmiş","SELECT * FROM Cars WHERE Country='Çin'"
"arabalar tablosundaki arabalardan kaç tanesi Japonyada üretilmiş","SELECT COUNT(*) FROM Cars WHERE Country='Japonya'"
"arabalar tablosunda 2000 yılından sonra Amerikada üretilmiş arabalar","SELECT * FROM Cars WHERE ProductionYear>2000 AND Country='Amerika'"
"arabalar tablosunda üretim yılı 1990’dan küçük olan ve Alerkekyada üretilmiş arabalar","SELECT * FROM Cars WHERE ProductionYear<1990 AND Country='Alerkekya'"
"arabalar tablosunda ağırlığı 1000 kilogramdan fazla olan arabalar","SELECT * FROM Cars WHERE Weight>1000 KG"
"arabalar tablosunda ağırlığı 800 kilogramdan fazla olan arabaların sayısı","SELECT COUNT(*) FROM Cars WHERE Weight>800 KG"
"arabalar tablosunda 2000 yılından sonra Amerikada üretilmiş arabaları renklerine göre alfabetik olarak listele","SELECT * FROM Cars WHERE ProductionYear>2000 AND Country='Amerika' ORDER BY Country ASC"
"arabalar tablosunda maksimum hızı 260’ın üzerinde olan arabalar","SELECT * FROM Cars WHERE MaxSpeed> 260"
"arabalar tablosunda maksimum hız limitine göre arabaları tersten listele","SELECT * FROM Cars ORDER BY MaxSpeed DESC"
